Profile,Country,Patent Number,Licensor,Country New,Patent Number New,Inventor
Main/Main10,AL,AL8062,Samsung,AL,AL8062,UNKNOWN
Main/Main10,AL,AL8273,Samsung,AL,AL8273,UNKNOWN
Main/Main10,AL,AL8309,Samsung,AL,AL8309,UNKNOWN
Main/Main10,AL,AL8322,Samsung,AL,AL8322,UNKNOWN
Main/Main10,AL,AL8405,Samsung,AL,AL8405,UNKNOWN
Main/Main10,AL,AL8675,Samsung,AL,AL8675,UNKNOWN
Main/Main10,AL,AL9662,ETRI,AL,AL9662,UNKNOWN
Main/Main10,AL,AL9987,ETRI,AL,AL9987,UNKNOWN
Main/Main10,AR,AR018758,Philips,AR,AR018758,UNKNOWN
Main/Main10,AR,AR88540,Sun Patent,AR,AR88540,UNKNOWN
Main/Main10,AR,AR90815,Sun Patent,AR,AR90815,UNKNOWN
Main/Main10,AR,AR91182,Sun Patent,AR,AR91182,UNKNOWN
Main/Main10,AR,AR92495,Sun Patent,AR,AR92495,UNKNOWN
Main/Main10,AT,ATE1000612,Samsung,AT,ATE1000612,UNKNOWN
Main/Main10,AT,ATE1009245,Samsung,AT,ATE1009245,UNKNOWN
Main/Main10,AT,ATE1009728,Samsung,AT,ATE1009728,UNKNOWN
Main/Main10,AT,ATE1023038,Samsung,AT,ATE1023038,UNKNOWN
Main/Main10,AT,ATE1023039,Samsung,AT,ATE1023039,UNKNOWN
Main/Main10,AT,ATE1023046,DIAB,AT,ATE1023046,UNKNOWN
Main/Main10,AT,ATE1023047,GEVC,AT,ATE1023047,UNKNOWN
Main/Main10,AT,ATE1025752,Samsung,AT,ATE1025752,UNKNOWN
Main/Main10,AT,ATE1028417,Samsung,AT,ATE1028417,UNKNOWN
Main/Main10,AT,ATE1031161,Samsung,AT,ATE1031161,UNKNOWN
Main/Main10,AT,ATE1036583,Huawei,AT,ATE1036583,UNKNOWN
Main/Main10,AT,ATE1036586,HFI,AT,ATE1036586,UNKNOWN
Main/Main10,AT,ATE1039300,GEVC,AT,ATE1039300,UNKNOWN
Main/Main10,AT,ATE1041803,Samsung,AT,ATE1041803,UNKNOWN
Main/Main10,AT,ATE1041997,Samsung,AT,ATE1041997,UNKNOWN
Main/Main10,AT,ATE1041998,Samsung,AT,ATE1041998,UNKNOWN
Main/Main10,AT,ATE1041999,Samsung,AT,ATE1041999,UNKNOWN
Main/Main10,AT,ATE1042000,Samsung,AT,ATE1042000,UNKNOWN
Main/Main10,AT,ATE1044682,Samsung,AT,ATE1044682,UNKNOWN
Main/Main10,AT,ATE1044683,Samsung,AT,ATE1044683,UNKNOWN
Main/Main10,AT,ATE1044686,Samsung,AT,ATE1044686,UNKNOWN
Main/Main10,AT,ATE1047433,Canon,AT,ATE1047433,UNKNOWN
Main/Main10,AT,ATE1049945,Samsung,AT,ATE1049945,UNKNOWN
Main/Main10,AT,ATE1049949,DIAB,AT,ATE1049949,UNKNOWN
Main/Main10,AT,ATE1052656,Samsung,AT,ATE1052656,UNKNOWN
Main/Main10,AT,ATE1052657,Samsung,AT,ATE1052657,UNKNOWN
Main/Main10,AT,ATE1052658,Samsung,AT,ATE1052658,UNKNOWN
Main/Main10,AT,ATE1052659,Samsung,AT,ATE1052659,UNKNOWN
Main/Main10,AT,ATE1060818,GEVC,AT,ATE1060818,UNKNOWN
Main/Main10,AT,ATE1063512,Samsung,AT,ATE1063512,UNKNOWN
Main/Main10,AT,ATE1066243,Samsung,AT,ATE1066243,UNKNOWN
Main/Main10,AT,ATE1066244,Samsung,AT,ATE1066244,UNKNOWN
Main/Main10,AT,ATE1066247,Samsung,AT,ATE1066247,UNKNOWN
Main/Main10,AT,ATE1066253,HFI,AT,ATE1066253,UNKNOWN
Main/Main10,AT,ATE1071665,LGE,AT,ATE1071665,UNKNOWN
Main/Main10,AT,ATE1074573,Samsung,AT,ATE1074573,UNKNOWN
Main/Main10,AT,ATE1074583,Samsung,AT,ATE1074583,UNKNOWN
Main/Main10,AT,ATE1077542,GEVC,AT,ATE1077542,UNKNOWN
Main/Main10,AT,ATE1077543,Samsung,AT,ATE1077543,UNKNOWN
Main/Main10,AT,ATE1079974,LGE,AT,ATE1079974,UNKNOWN
Main/Main10,AT,ATE1083041,Huawei,AT,ATE1083041,UNKNOWN
Main/Main10,AT,ATE1083047,Samsung,AT,ATE1083047,UNKNOWN
Main/Main10,AT,ATE1083048,Samsung,AT,ATE1083048,UNKNOWN
Main/Main10,AT,ATE1083052,Samsung,AT,ATE1083052,UNKNOWN
Main/Main10,AT,ATE1085944,Samsung,AT,ATE1085944,UNKNOWN
Main/Main10,AT,ATE1085945,Samsung,AT,ATE1085945,UNKNOWN
Main/Main10,AT,ATE1085946,HFI,AT,ATE1085946,UNKNOWN
Main/Main10,AT,ATE1085947,LGE,AT,ATE1085947,UNKNOWN
Main/Main10,AT,ATE1085953,Samsung,AT,ATE1085953,UNKNOWN
Main/Main10,AT,ATE1088786,Panasonic,AT,ATE1088786,UNKNOWN
Main/Main10,AT,ATE1088788,LGE,AT,ATE1088788,UNKNOWN
Main/Main10,AT,ATE1088793,Samsung,AT,ATE1088793,UNKNOWN
Main/Main10,AT,ATE1092395,Panasonic,AT,ATE1092395,UNKNOWN
Main/Main10,AT,ATE1094164,Panasonic,AT,ATE1094164,UNKNOWN
Main/Main10,AT,ATE1094165,Panasonic,AT,ATE1094165,UNKNOWN
Main/Main10,AT,ATE1094166,Panasonic,AT,ATE1094166,UNKNOWN
Main/Main10,AT,ATE1096904,Samsung,AT,ATE1096904,UNKNOWN
Main/Main10,AT,ATE1099779,LGE,AT,ATE1099779,UNKNOWN
Main/Main10,AT,ATE1109310,Canon,AT,ATE1109310,UNKNOWN
Main/Main10,AT,ATE1109311,Canon,AT,ATE1109311,UNKNOWN
Main/Main10,AT,ATE1114417,Philips,AT,ATE1114417,UNKNOWN
Main/Main10,AT,ATE1117012,Panasonic,AT,ATE1117012,UNKNOWN
Main/Main10,AT,ATE1117235,Huawei,AT,ATE1117235,UNKNOWN
Main/Main10,AT,ATE1117242,Canon,AT,ATE1117242,UNKNOWN
Main/Main10,AT,ATE1120320,Canon,AT,ATE1120320,UNKNOWN
Main/Main10,AT,ATE1122833,Canon,AT,ATE1122833,UNKNOWN
Main/Main10,AT,ATE1132078,Samsung,AT,ATE1132078,UNKNOWN
Main/Main10,AT,ATE1132079,Samsung,AT,ATE1132079,UNKNOWN
Main/Main10,AT,ATE1132080,Samsung,AT,ATE1132080,UNKNOWN
Main/Main10,AT,ATE1141174,Panasonic,AT,ATE1141174,UNKNOWN
Main/Main10,AT,ATE1144121,Panasonic,AT,ATE1144121,UNKNOWN
Main/Main10,AT,ATE1144122,Panasonic,AT,ATE1144122,UNKNOWN
Main/Main10,AT,ATE1144123,Panasonic,AT,ATE1144123,UNKNOWN
Main/Main10,AT,ATE1144125,Samsung,AT,ATE1144125,UNKNOWN
Main/Main10,AT,ATE1144129,Samsung,AT,ATE1144129,UNKNOWN
Main/Main10,AT,ATE1147010,LGE,AT,ATE1147010,UNKNOWN
Main/Main10,AT,ATE1149694,LGE,AT,ATE1149694,UNKNOWN
Main/Main10,AT,ATE1168442,ETRI,AT,ATE1168442,UNKNOWN
Main/Main10,AT,ATE1177046,Sun Patent,AT,ATE1177046,UNKNOWN
Main/Main10,AT,ATE1184981,HFI,AT,ATE1184981,UNKNOWN
Main/Main10,AT,ATE1184994,Canon,AT,ATE1184994,UNKNOWN
Main/Main10,AT,ATE1187518,Canon,AT,ATE1187518,UNKNOWN
Main/Main10,AT,ATE1187519,Canon,AT,ATE1187519,UNKNOWN
Main/Main10,AT,ATE1187525,Samsung,AT,ATE1187525,UNKNOWN
Main/Main10,AT,ATE1200470,IP Bridge,AT,ATE1200470,UNKNOWN
Main/Main10,AT,ATE1200476,LGE,AT,ATE1200476,UNKNOWN
Main/Main10,AT,ATE1210982,DLLC,AT,ATE1210982,UNKNOWN
Main/Main10,AT,ATE1210983,DLLC,AT,ATE1210983,UNKNOWN
Main/Main10,AT,ATE1218446,Canon,AT,ATE1218446,UNKNOWN
Main/Main10,AT,ATE1221313,LGE,AT,ATE1221313,UNKNOWN
Main/Main10,AT,ATE1223633,GEVC,AT,ATE1223633,UNKNOWN
Main/Main10,AT,ATE1224167,GEVC,AT,ATE1224167,UNKNOWN
Main/Main10,AT,ATE1224169,Canon,AT,ATE1224169,UNKNOWN
Main/Main10,AT,ATE1229210,Huawei,AT,ATE1229210,UNKNOWN
Main/Main10,AT,ATE1244631,Canon,AT,ATE1244631,UNKNOWN
Main/Main10,AT,ATE1244632,Canon,AT,ATE1244632,UNKNOWN
Main/Main10,AT,ATE1244639,Canon,AT,ATE1244639,UNKNOWN
Main/Main10,AT,ATE1247281,LGE,AT,ATE1247281,UNKNOWN
Main/Main10,AT,ATE1249957,DIAB,AT,ATE1249957,UNKNOWN
Main/Main10,AT,ATE1265091,LGE,AT,ATE1265091,UNKNOWN
Main/Main10,AT,ATE1268736,Huawei,AT,ATE1268736,UNKNOWN
Main/Main10,AT,ATE1292302,Canon,AT,ATE1292302,UNKNOWN
Main/Main10,AT,ATE1292304,GEVC,AT,ATE1292304,UNKNOWN
Main/Main10,AT,ATE1297215,DLLC,AT,ATE1297215,UNKNOWN
Main/Main10,AT,ATE1297217,Canon,AT,ATE1297217,UNKNOWN
Main/Main10,AT,ATE1302744,Toshiba,AT,ATE1302744,UNKNOWN
Main/Main10,AT,ATE1302746,GEVC,AT,ATE1302746,UNKNOWN
Main/Main10,AT,ATE1313043,Panasonic,AT,ATE1313043,UNKNOWN
Main/Main10,AT,ATE1319865,Panasonic,AT,ATE1319865,UNKNOWN
Main/Main10,AT,ATE1319866,Panasonic,AT,ATE1319866,UNKNOWN
Main/Main10,AT,ATE1327052,Canon,AT,ATE1327052,UNKNOWN
Main/Main10,AT,ATE1327055,ETRI,AT,ATE1327055,UNKNOWN
Main/Main10,AT,ATE1334583,KTCORP,AT,ATE1334583,UNKNOWN
Main/Main10,AT,ATE1344552,Toshiba,AT,ATE1344552,UNKNOWN
Main/Main10,AT,ATE1348848,Toshiba,AT,ATE1348848,UNKNOWN
Main/Main10,AT,ATE1353634,Canon,AT,ATE1353634,UNKNOWN
Main/Main10,AT,ATE1355423,ETRI,AT,ATE1355423,UNKNOWN
Main/Main10,AT,ATE1397406,Huawei,AT,ATE1397406,UNKNOWN
Main/Main10,AT,ATE1407493,GEVC,AT,ATE1407493,UNKNOWN
Main/Main10,AT,ATE1418221,GEVC,AT,ATE1418221,UNKNOWN
Main/Main10,AT,ATE1418226,Huawei,AT,ATE1418226,UNKNOWN
Main/Main10,AT,ATE1439026,Huawei,AT,ATE1439026,UNKNOWN
Main/Main10,AT,ATE350861,Panasonic,AT,ATE350861,UNKNOWN
Main/Main10,AT,ATE382242,IP Bridge,AT,ATE382242,UNKNOWN
Main/Main10,AT,ATE401743,IP Bridge,AT,ATE401743,UNKNOWN
Main/Main10,AT,ATE413067,Panasonic,AT,ATE413067,UNKNOWN
Main/Main10,AT,ATE421802,GEVC,AT,ATE421802,UNKNOWN
Main/Main10,AT,ATE434288,DIAB,AT,ATE434288,UNKNOWN
Main/Main10,AT,ATE493846,Panasonic,AT,ATE493846,UNKNOWN
Main/Main10,AT,ATE498981,Philips,AT,ATE498981,UNKNOWN
Main/Main10,AT,ATE556539,DIAB,AT,ATE556539,UNKNOWN
Main/Main10,AT,ATE557544,DIAB,AT,ATE557544,UNKNOWN
Main/Main10,AT,ATE586625,Panasonic,AT,ATE586625,UNKNOWN
Main/Main10,AT,ATE590984,IP Bridge,AT,ATE590984,UNKNOWN
Main/Main10,AT,ATE602674,Panasonic,AT,ATE602674,UNKNOWN
Main/Main10,AT,ATE602675,Panasonic,AT,ATE602675,UNKNOWN
Main/Main10,AT,ATE602676,Panasonic,AT,ATE602676,UNKNOWN
Main/Main10,AT,ATE602677,Panasonic,AT,ATE602677,UNKNOWN
Main/Main10,AT,ATE602679,Panasonic,AT,ATE602679,UNKNOWN
Main/Main10,AT,ATE609216,Panasonic,AT,ATE609216,UNKNOWN
Main/Main10,AT,ATE636972,Panasonic,AT,ATE636972,UNKNOWN
Main/Main10,AT,ATE636973,Panasonic,AT,ATE636973,UNKNOWN
Main/Main10,AT,ATE640094,GEVC,AT,ATE640094,UNKNOWN
Main/Main10,AT,ATE640096,GEVC,AT,ATE640096,UNKNOWN
Main/Main10,AT,ATE640097,GEVC,AT,ATE640097,UNKNOWN
Main/Main10,AT,ATE640098,GEVC,AT,ATE640098,UNKNOWN
Main/Main10,AT,ATE670101,IP Bridge,AT,ATE670101,UNKNOWN
Main/Main10,AT,ATE670461,Panasonic,AT,ATE670461,UNKNOWN
Main/Main10,AT,ATE670462,Panasonic,AT,ATE670462,UNKNOWN
Main/Main10,AT,ATE670463,Panasonic,AT,ATE670463,UNKNOWN
Main/Main10,AT,ATE675231,Panasonic,AT,ATE675231,UNKNOWN
Main/Main10,AT,ATE686136,Samsung,AT,ATE686136,UNKNOWN
Main/Main10,AT,ATE690017,IP Bridge,AT,ATE690017,UNKNOWN
Main/Main10,AT,ATE715875,Samsung,AT,ATE715875,UNKNOWN
Main/Main10,AT,ATE717196,Samsung,AT,ATE717196,UNKNOWN
Main/Main10,AT,ATE717197,Samsung,AT,ATE717197,UNKNOWN
Main/Main10,AT,ATE717199,Samsung,AT,ATE717199,UNKNOWN
Main/Main10,AT,ATE732453,Philips,AT,ATE732453,UNKNOWN
Main/Main10,AT,ATE743038,GEVC,AT,ATE743038,UNKNOWN
Main/Main10,AT,ATE750600,DIAB,AT,ATE750600,UNKNOWN
Main/Main10,AT,ATE750601,DIAB,AT,ATE750601,UNKNOWN
Main/Main10,AT,ATE751771,Samsung,AT,ATE751771,UNKNOWN
Main/Main10,AT,ATE759885,GEVC,AT,ATE759885,UNKNOWN
Main/Main10,AT,ATE784039,GEVC,AT,ATE784039,UNKNOWN
Main/Main10,AT,ATE784040,GEVC,AT,ATE784040,UNKNOWN
Main/Main10,AT,ATE801329,Samsung,AT,ATE801329,UNKNOWN
Main/Main10,AT,ATE803161,Panasonic,AT,ATE803161,UNKNOWN
Main/Main10,AT,ATE807030,Samsung,AT,ATE807030,UNKNOWN
Main/Main10,AT,ATE808261,Samsung,AT,ATE808261,UNKNOWN
Main/Main10,AT,ATE809909,DIAB,AT,ATE809909,UNKNOWN
Main/Main10,AT,ATE816644,Panasonic,AT,ATE816644,UNKNOWN
Main/Main10,AT,ATE819985,Panasonic,AT,ATE819985,UNKNOWN
Main/Main10,AT,ATE819986,Panasonic,AT,ATE819986,UNKNOWN
Main/Main10,AT,ATE827773,Samsung,AT,ATE827773,UNKNOWN
Main/Main10,AT,ATE830123,Samsung,AT,ATE830123,UNKNOWN
Main/Main10,AT,ATE830124,Samsung,AT,ATE830124,UNKNOWN
Main/Main10,AT,ATE831874,Panasonic,AT,ATE831874,UNKNOWN
Main/Main10,AT,ATE831880,Samsung,AT,ATE831880,UNKNOWN
Main/Main10,AT,ATE837412,Samsung,AT,ATE837412,UNKNOWN
Main/Main10,AT,ATE842878,GEVC,AT,ATE842878,UNKNOWN
Main/Main10,AT,ATE844860,Samsung,AT,ATE844860,UNKNOWN
Main/Main10,AT,ATE846880,Huawei,AT,ATE846880,UNKNOWN
Main/Main10,AT,ATE852626,Samsung,AT,ATE852626,UNKNOWN
Main/Main10,AT,ATE854511,Samsung,AT,ATE854511,UNKNOWN
Main/Main10,AT,ATE858178,GEVC,AT,ATE858178,UNKNOWN
Main/Main10,AT,ATE860273,DIAB,AT,ATE860273,UNKNOWN
Main/Main10,AT,ATE862234,DIAB,AT,ATE862234,UNKNOWN
Main/Main10,AT,ATE863498,Samsung,AT,ATE863498,UNKNOWN
Main/Main10,AT,ATE864724,Samsung,AT,ATE864724,UNKNOWN
Main/Main10,AT,ATE864725,Samsung,AT,ATE864725,UNKNOWN
Main/Main10,AT,ATE864726,Samsung,AT,ATE864726,UNKNOWN
Main/Main10,AT,ATE864727,Samsung,AT,ATE864727,UNKNOWN
Main/Main10,AT,ATE864728,Docomo,AT,ATE864728,UNKNOWN
Main/Main10,AT,ATE866384,Samsung,AT,ATE866384,UNKNOWN
Main/Main10,AT,ATE866386,Samsung,AT,ATE866386,UNKNOWN
Main/Main10,AT,ATE867309,DIAB,AT,ATE867309,UNKNOWN
Main/Main10,AT,ATE872561,Philips,AT,ATE872561,UNKNOWN
Main/Main10,AT,ATE874501,GEVC,AT,ATE874501,UNKNOWN
Main/Main10,AT,ATE888809,Docomo,AT,ATE888809,UNKNOWN
Main/Main10,AT,ATE893444,Samsung,AT,ATE893444,UNKNOWN
Main/Main10,AT,ATE900001,Samsung,AT,ATE900001,UNKNOWN
Main/Main10,AT,ATE901969,Samsung,AT,ATE901969,UNKNOWN
Main/Main10,AT,ATE903893,Samsung,AT,ATE903893,UNKNOWN
Main/Main10,AT,ATE905778,Samsung,AT,ATE905778,UNKNOWN
Main/Main10,AT,ATE905779,HFI,AT,ATE905779,UNKNOWN
Main/Main10,AT,ATE907349,Samsung,AT,ATE907349,UNKNOWN
Main/Main10,AT,ATE911462,Panasonic,AT,ATE911462,UNKNOWN
Main/Main10,AT,ATE913286,Panasonic,AT,ATE913286,UNKNOWN
Main/Main10,AT,ATE915636,Samsung,AT,ATE915636,UNKNOWN
Main/Main10,AT,ATE915639,GEVC,AT,ATE915639,UNKNOWN
Main/Main10,AT,ATE922487,Philips,AT,ATE922487,UNKNOWN
Main/Main10,AT,ATE924677,Samsung,AT,ATE924677,UNKNOWN
Main/Main10,AT,ATE924678,Samsung,AT,ATE924678,UNKNOWN
Main/Main10,AT,ATE924679,Samsung,AT,ATE924679,UNKNOWN
Main/Main10,AT,ATE927067,Samsung,AT,ATE927067,UNKNOWN
Main/Main10,AT,ATE929267,Samsung,AT,ATE929267,UNKNOWN
Main/Main10,AT,ATE934917,Panasonic,AT,ATE934917,UNKNOWN
Main/Main10,AT,ATE935069,IP Bridge,AT,ATE935069,UNKNOWN
Main/Main10,AT,ATE936981,Samsung,AT,ATE936981,UNKNOWN
Main/Main10,AT,ATE936983,Samsung,AT,ATE936983,UNKNOWN
Main/Main10,AT,ATE936986,Samsung,AT,ATE936986,UNKNOWN
Main/Main10,AT,ATE936987,Samsung,AT,ATE936987,UNKNOWN
Main/Main10,AT,ATE936988,Samsung,AT,ATE936988,UNKNOWN
Main/Main10,AT,ATE943117,IP Bridge,AT,ATE943117,UNKNOWN
Main/Main10,AT,ATE943123,Samsung,AT,ATE943123,UNKNOWN
Main/Main10,AT,ATE947360,Samsung,AT,ATE947360,UNKNOWN
Main/Main10,AT,ATE947363,GEVC,AT,ATE947363,UNKNOWN
Main/Main10,AT,ATE947364,Samsung,AT,ATE947364,UNKNOWN
Main/Main10,AT,ATE947365,Samsung,AT,ATE947365,UNKNOWN
Main/Main10,AT,ATE947366,Samsung,AT,ATE947366,UNKNOWN
Main/Main10,AT,ATE951374,Samsung,AT,ATE951374,UNKNOWN
Main/Main10,AT,ATE955373,Samsung,AT,ATE955373,UNKNOWN
Main/Main10,AT,ATE957369,Panasonic,AT,ATE957369,UNKNOWN
Main/Main10,AT,ATE959256,Panasonic,AT,ATE959256,UNKNOWN
Main/Main10,AT,ATE963659,Samsung,AT,ATE963659,UNKNOWN
Main/Main10,AT,ATE965158,Samsung,AT,ATE965158,UNKNOWN
Main/Main10,AT,ATE966405,Panasonic,AT,ATE966405,UNKNOWN
Main/Main10,AT,ATE975372,Samsung,AT,ATE975372,UNKNOWN
Main/Main10,AT,ATE975373,Huawei,AT,ATE975373,UNKNOWN
Main/Main10,AT,ATE977584,GEVC,AT,ATE977584,UNKNOWN
Main/Main10,AT,ATE982349,Samsung,AT,ATE982349,UNKNOWN
Main/Main10,AT,ATE984437,ETRI,AT,ATE984437,UNKNOWN
Main/Main10,AT,ATE996472,Samsung,AT,ATE996472,UNKNOWN
Main/Main10,AT,AT-EP3474552,Canon,EP,EP3474552,GUILLAUME LAROCHE
Main/Main10,AT,AT-EP3609180,Canon,EP,EP3609180,GUILLAUME LAROCHE|PATRICE ONNO
Main/Main10,AU,AU2002316666,DLLC,AU,AU2002316666,GARY A. DEMOS
Main/Main10,AU,AU2002344460,Panasonic,AU,AU2002344460,MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2002347635,IP Bridge,AU,AU2002347635,TECK WEE FOO|SHINYA KADONO|CHAK JOO LEE|SHENG MEI SHEN|ZHONG XUE
Main/Main10,AU,AU2003201906,Panasonic,AU,AU2003201906,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003211717,Panasonic,AU,AU2003211717,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003221378,Panasonic,AU,AU2003221378,SHINYA KADONO|SATOSHI KONDO|YOSHINORI MATSUI
Main/Main10,AU,AU2003234762,Panasonic,AU,AU2003234762,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003235171,IP Bridge,AU,AU2003235171,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003235172,IP Bridge,AU,AU2003235172,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003236033,IP Bridge,AU,AU2003236033,KIYOFUMI ABE|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO
Main/Main10,AU,AU2003247759,DLLC,AU,AU2003247759,GARY A. DEMOS
Main/Main10,AU,AU2003281129,Panasonic,AU,AU2003281129,KIYOFUMI ABE|TECK WEE FOO|MAKOTO HAGAI|SHINYA KADONO|SATOSHI KONDO|CHONG SOON LIM|SHENG MEI SHEN
Main/Main10,AU,AU2007234501,IP Bridge,AU,AU2007234501,TECK WEE FOO|SHINYA KADONO|CHONG SOON LIM|SHENG MEI SHEN
